name,Price
Balu shahi,500
Boondi,400
Gajar ka halwa,100
Ghevar,250
Gulab jamun,600
Imarti,800
Jalebi,150
Kaju katli,750
Kalakand,602
Kheer,637
Laddu,672
Ras malai,707
Rasgulla,742
Sandesh,777
Adhirasam,813
Ariselu,848
Bandar laddu,883
Lassi,918
Nankhatai,500
Petha,400
Phirni,100
Rabri,250
Sheera,600
Singori,800
Sohan halwa,150
Sohan papdi,750
Chhena jalebi,602
Chhena kheeri,637
Chhena poda,672
Cham cham,707
Kheer sagar,742
Ledikeni,777
Lyangcha,813
Malapua,848
Mihidana,883
Misti doi,918
Pantua,707
Pithe,742
Rasabali,777
Basundi,813
Dhondas,848
Doodhpak,883
Mahim halwa,918
Modak,500
Shankarpali,400
Chikki,100
Dharwad pedha,250
Double ka meetha,600
Gavvalu,800
Kakinada khaja,150
Kuzhi paniyaram,750
Mysore pak,602
Obbattu holige,637
Palathalikalu,672
Poornalu,707
Pongal,742
Pootharekulu,777
Qubani ka meetha,813
Sheer korma,848
Unni Appam,883
Kajjikaya,918
Anarsa,883
Kulfi falooda,918
Lauki ke kofte,500
Lauki ki subji,400
Litti chokha,100
Makki di roti sarson da saag,250
Misi roti,600
Shrikhand,800
Sutar feni,150
Maach Jhol,750
Pork Bharta,602
Chak Hao Kheer,637
Galho,672
Aloo gobi,707
Aloo tikki,742
Aloo matar,777
Aloo methi,813
Aloo shimla mirch,848
Bhatura,883
Bhindi masala,918
Biryani,848
Butter chicken,883
Chana masala,918
Chapati,500
Chicken razala,400
Chicken Tikka masala,100
Chicken Tikka,250
Chole bhature,600
Daal baati churma,800
Daal puri,150
Dal makhani ,750
Dal tadka,602
Dum aloo,637
Poha,672
Fara,707
Kachori,742
Kadai paneer,777
Kadhi pakoda,813
Karela bharta,848
Khichdi,883
Kofta,918
Poriyal,918
Puli sadam,500
Rasam,400
Puttu,100
Sambar,500
Sandige,400
Mushroom do pyaza,100
Mushroom matar,250
Naan,600
Navrattan korma,800
Palak paneer,150
Paneer butter masala,750
Paneer tikka masala,602
Pani puri,637
Panjeeri,672
Papad,707
Paratha,742
Pattor,500
Pindi chana,400
Rajma chaval,100
Rongi,250
Samosa,600
Sattu ki roti,800
Shahi paneer,150
Shahi tukra,750
Vegetable jalfrezi,602
Tandoori Chicken,637
Tandoori Fish Tikka,672
Attu,707
Avial,742
Bisi bele bath,777
Currivepillai sadam ,500
Dosa,400
Idiappam,100
Idli,250
Kanji,600
Kaara kozhambu,800
Keerai kootu,150
Keerai masiyal,750
Keerai sadam,602
Keerai poriyal,637
Beef Fry,672
Kootu,707
Kos kootu,742
Koshambri,777
Kothamali sadam,500
Kuzhakkattai,400
Kuzhambu,100
Masala Dosa,250
Pachadi,600
Paniyaram,800
Papadum,150
Paravannam,750
Payasam,602
Paruppu sadam,637
Pesarattu,500
Khar,400
Kumol Sawul,100
Luchi,250
Alu Pitika,600
Masor tenga,800
Bengena Pitika,150
Sevai,750
Thayir sadam,602
Theeyal,637
Uttapam,672
Vada,707
Chicken Varuval,742
Upma,777
Amti,813
Zunka,848
Kolim Jawla,883
Saath,918
Bajri no rotlo,500
Coconut vadi,400
Bhakri,100
Bombil fry,250
Chakali,600
Chevdo,800
Chorafali,150
Copra paak,750
Daal Dhokli,602
Kutchi dabeli,637
Dahi vada,672
Dalithoy,707
Dhokla,742
Dudhi halwa,777
Gatta curry,813
Gud papdi,848
Ghooghra,883
Handwo,918
Halvasan,500
Jeera Aloo,400
Kansar,100
Keri no ras,250
Khakhra,600
Khandvi,800
Kombdi vade,150
Laapsi,750
Koshimbir,602
Methi na Gota,637
Mohanthal,672
Muthiya,707
Patra,500
Pav Bhaji,400
Puri Bhaji,100
Sabudana Khichadi,250
Sev khamani,600
Sev tameta,800
Namakpara,150
Sukhdi,750
Surnoli,602
Thalipeeth,637
Undhiyu,672
Veg Kolhapuri,707
Vindaloo,742
Lilva Kachori,777
Mag Dhokli,813
Khichu,500
Thepla,400
Farsi Puri,100
Khaman,250
Turiya Patra Vatana sabji,600
Churma Ladoo,800
Cheera Doi,150
Gheela Pitha,750
Shukto,602
Til Pitha,637
Bebinca,672
Shufta,707
Mawa Bati,742
Pinaca,777
Bilahi Maas,813
Black rice,848
Bora Sawul,883
Brown Rice,500
Chingri malai curry,400
Goja,100
Hando Guri,250
Haq Maas,600
Chingri Bhape,800
Kabiraji,150
Khorisa,750
Koldil Chicken,602
Konir Dom,637
Koldil Duck,672
Masor Koni,707
Mishti Chholar Dal,742
Pakhala,777
Pani Pitha,813
Payokh,848
Prawn malai curry,883
Red Rice,918
